Date,City,Actual_SPI_3,Predicted_SPI_3,Residual,Absolute_Error,Actual_Drought,Predicted_Drought,Actual_Status,Predicted_Status,Actual_SPI_Category,Predicted_SPI_Category,Predicted_Drought_LSTM,Actual_Condition,LSTM_Condition
2023-09-01,Taif,0.80046254,0.39091575,0.4095468,0.4095468,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2023-10-01,Taif,1.1073823,0.60957885,0.49780345,0.49780345,0,0,No Drought,No Drought,Moderately Wet,Near Normal,0,No drought,No drought
2023-11-01,Taif,1.4709042,0.99671584,0.4741884,0.4741884,0,0,No Drought,No Drought,Moderately Wet,Near Normal,0,No drought,No drought
2023-12-01,Taif,1.6757509,1.759396,-0.083645105,0.083645105,0,0,No Drought,No Drought,Very Wet,Very Wet,0,No drought,No drought
2024-01-01,Taif,1.4586174,1.9762694,-0.5176519,0.5176519,0,0,No Drought,No Drought,Moderately Wet,Very Wet,0,No drought,No drought
2024-02-01,Taif,0.98654515,0.870198,0.116347134,0.116347134,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2024-03-01,Taif,0.5692869,-0.29462382,0.8639107,0.8639107,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2024-04-01,Taif,1.880398,0.57418454,1.3062135,1.3062135,0,0,No Drought,No Drought,Very Wet,Near Normal,0,No drought,No drought
2024-05-01,Taif,1.9037738,2.0221255,-0.1183517,0.1183517,0,0,No Drought,No Drought,Very Wet,Extremely Wet,0,No drought,No drought
2024-06-01,Taif,1.8511629,1.9909118,-0.13974893,0.13974893,0,0,No Drought,No Drought,Very Wet,Very Wet,0,No drought,No drought
2024-07-01,Taif,1.0886544,1.2885365,-0.19988215,0.19988215,0,0,No Drought,No Drought,Moderately Wet,Moderately Wet,0,No drought,No drought
2024-08-01,Taif,2.2496386,0.2025786,2.04706,2.04706,0,0,No Drought,No Drought,Extremely Wet,Near Normal,0,No drought,No drought
2024-09-01,Taif,2.4498103,1.9616436,0.4881667,0.4881667,0,0,No Drought,No Drought,Extremely Wet,Very Wet,0,No drought,No drought
2024-10-01,Taif,2.9689152,2.162455,0.80646014,0.80646014,0,0,No Drought,No Drought,Extremely Wet,Extremely Wet,0,No drought,No drought
2024-11-01,Taif,1.7729715,2.4005225,-0.62755096,0.62755096,0,0,No Drought,No Drought,Very Wet,Extremely Wet,0,No drought,No drought
2024-12-01,Taif,1.2910724,1.5115751,-0.22050273,0.22050273,0,0,No Drought,No Drought,Moderately Wet,Very Wet,0,No drought,No drought
2025-01-01,Taif,-0.41797403,0.02404222,-0.44201624,0.44201624,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
